,Transaction_ID,Customer_ID,Product_ID,Date,Total_Cost,Discount_Rate,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country
0,200,1086,536,2020-01-01 20:32:25.945945945,8265.37454940804,0.2,Online,High,WH-3,2-Day,Cancelled,Neutral,False,Wrong Item,Wire Transfer,False,West,Canada
1,321,1078,523,2020-01-02 06:55:08.108108108,4047.8504787607,0.0,Reseller,Critical,WH-1,Overnight,Backorder,Satisfied,True,Damaged,PayPal,True,South,Mexico
2,989,1077,535,2020-01-06 08:12:58.378378378,5096.553818483975,0.05,Direct,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,PayPal,True,West,Canada
3,682,1027,546,2020-01-07 22:03:14.594594594,8194.281992877543,0.0,Reseller,Medium,WH-1,Express,Pending,Unsatisfied,False,Wrong Item,Cash,True,South,Canada
4,484,1052,556,2020-01-07 07:08:06.486486486,8331.32924886882,0.2,Direct,Low,WH-2,2-Day,Delivered,Satisfied,True,Late,Cash,False,South,Mexico
5,483,1074,549,2020-01-01 21:11:21.081081081,6894.375243656562,0.05,Reseller,Medium,WH-3,2-Day,Backorder,Unsatisfied,True,Not Specified,PayPal,False,South,USA
6,757,1061,547,2020-01-01 21:11:21.081081081,4611.329101247279,0.15,Direct,Critical,WH-3,Express,Cancelled,Neutral,False,Late,Credit Card,True,South,Canada
7,985,1040,542,2020-01-06 00:25:56.756756756,7623.669347238553,0.0,Direct,Critical,WH-2,Overnight,Delivered,Neutral,True,Not Specified,Credit Card,False,North,Canada
8,795,1014,533,2020-01-08 03:53:30.810810810,6194.880826757808,0.0,Direct,Medium,WH-1,Express,Delivered,Neutral,True,Late,PayPal,False,East,Mexico
9,459,1040,529,2020-01-06 22:16:12.972972973,5933.960843694132,0.0,Partner,Critical,WH-3,Overnight,Pending,Unsatisfied,True,Late,Credit Card,False,South,USA
10,826,1039,521,2020-01-02 04:32:25.945945945,4697.420195618569,0.0,Reseller,Medium,WH-2,Overnight,Delivered,Unsatisfied,False,Wrong Item,Cash,True,East,Canada
11,116,1080,535,2020-01-07 12:32:25.945945946,5350.517195865819,0.0,Direct,Critical,WH-2,Regular,Cancelled,Satisfied,False,Not Specified,Cash,True,East,Canada
12,417,1076,555,2020-01-06 05:11:21.081081081,980.913486556204,0.0,Partner,High,WH-3,Express,Backorder,Unsatisfied,False,Damaged,Credit Card,True,West,Canada
13,367,1097,524,2020-01-08 22:16:12.972972973,5943.900905880649,0.1,Partner,Critical,WH-3,Express,Delivered,Unsatisfied,False,Wrong Item,Credit Card,False,East,Canada
14,233,1070,508,2020-01-05 13:11:21.081081081,6757.282871927786,0.15,Reseller,Medium,WH-1,Overnight,Delivered,Unsatisfied,True,Late,Credit Card,False,North,Mexico
15,191,1099,546,2020-01-05 23:34:03.243243243,4743.788008955943,0.0,Partner,Medium,WH-1,Regular,Pending,Satisfied,True,Late,PayPal,False,North,USA
16,891,1056,523,2020-01-06 22:29:11.351351351,5013.353792234297,0.05,Direct,High,WH-2,Regular,Cancelled,Neutral,False,Damaged,Wire Transfer,False,West,Canada
17,770,1021,510,2020-01-05 17:17:50.270270270,9438.36161081244,0.0,Direct,Medium,WH-1,2-Day,Delivered,Neutral,True,Late,Credit Card,False,North,Canada
18,387,1036,515,2020-01-07 01:17:50.270270270,7036.432792204224,0.1,Online,High,WH-1,Express,Backorder,Neutral,True,Wrong Item,Credit Card,False,South,Canada
19,641,1099,549,2020-01-02 09:04:51.891891891,6980.821047923439,0.05,Direct,Low,WH-1,Express,Cancelled,Unsatisfied,False,Damaged,Credit Card,True,West,USA
20,278,1020,542,2020-01-02 00:12:58.378378378,5034.828782162813,0.2,Partner,Low,WH-1,Regular,Pending,Satisfied,False,Late,Cash,True,North,Mexico
21,649,1096,535,2020-01-02 23:21:04.864864864,7657.985051266169,0.0,Partner,Low,WH-3,Overnight,Backorder,Satisfied,False,Damaged,Cash,True,South,Mexico
22,599,1046,548,2020-01-06 21:50:16.216216216,3755.9437915651183,0.1,Reseller,High,WH-1,Overnight,Delivered,Unsatisfied,False,Late,Credit Card,True,West,Canada
23,516,1026,520,2020-01-08 01:30:48.648648648,881.3191613109819,0.0,Reseller,Low,WH-3,Express,Delivered,Neutral,False,Damaged,PayPal,False,West,Mexico
24,871,1018,521,2020-01-03 06:16:12.972972972,6869.126171070717,0.2,Partner,High,WH-2,Overnight,Pending,Unsatisfied,True,Damaged,Credit Card,True,West,USA
25,46,1062,531,2020-01-09 18:48:38.918918919,7743.24610741125,0.2,Partner,High,WH-3,Overnight,Pending,Unsatisfied,False,Wrong Item,Wire Transfer,True,East,Canada
26,481,1053,537,2020-01-02 14:55:08.108108108,6887.646511271185,0.05,Direct,Critical,WH-3,2-Day,Delivered,Neutral,True,Damaged,PayPal,False,West,USA
27,671,1100,534,2020-01-07 19:40:32.432432432,5671.2764325260505,0.0,Reseller,Low,WH-2,Overnight,Pending,Unsatisfied,False,Not Specified,Wire Transfer,True,West,Mexico
28,744,1025,542,2020-01-04 09:04:51.891891891,6154.682460834315,0.05,Direct,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,True,North,Mexico
29,375,1006,524,2020-01-02 10:22:42.162162162,7419.523116226637,0.05,Direct,Critical,WH-2,Regular,Backorder,Neutral,False,Late,Credit Card,True,North,Mexico
30,717,1054,528,2020-01-01 02:22:42.162162162,3869.92128893702,0.1,Partner,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,False,West,USA
31,136,1005,544,2020-01-05 16:25:56.756756756,4107.639467733516,0.15,Partner,High,WH-2,Regular,Backorder,Neutral,True,Not Specified,Wire Transfer,True,West,USA
32,166,1036,516,2020-01-08 05:50:16.216216216,3135.9144573870635,0.1,Online,Low,WH-2,Express,Delivered,Unsatisfied,True,Not Specified,Credit Card,False,East,Canada
